Date,Temperature_C,Humidity_pct,Precipitation_mm,WindSpeed_kmh,Pressure_hPa,Weather_Condition
2022-01-01,9.9,64.3,0.0,21.9,1016.8,Partly Cloudy
2022-01-02,7.8,66.5,0.0,13.3,1012.8,Partly Cloudy
2022-01-03,10.3,86.8,0.8,14.1,1013.8,Drizzle
2022-01-04,13.0,79.7,9.9,26.3,1010.6,Rainy
2022-01-05,7.4,61.5,0.0,23.3,1013.9,Partly Cloudy
2022-01-06,7.4,65.8,0.0,22.7,1019.8,Partly Cloudy
2022-01-07,13.1,88.6,17.4,12.2,1006.0,Rainy
2022-01-08,10.5,64.0,0.0,15.1,1013.9,Partly Cloudy
2022-01-09,6.5,68.1,0.0,21.6,1013.5,Partly Cloudy
2022-01-10,9.8,61.2,0.0,19.4,1016.1,Partly Cloudy
2022-01-11,6.5,65.5,0.0,18.7,1011.7,Partly Cloudy
2022-01-12,6.5,68.3,0.0,25.9,1018.3,Partly Cloudy
2022-01-13,8.8,,0.0,9.7,1013.2,Partly Cloudy
2022-01-14,1.9,61.0,0.0,3.9,1021.2,Partly Cloudy
2022-01-15,2.5,87.2,19.1,15.7,1010.1,Rainy
2022-01-16,6.2,94.7,17.6,16.0,1015.6,Rainy
2022-01-17,4.8,73.0,0.0,40.9,1014.2,Cloudy
2022-01-18,9.0,70.3,0.0,8.6,1010.9,Cloudy
2022-01-19,5.1,67.1,0.0,23.1,1012.5,Partly Cloudy
2022-01-20,3.6,60.5,0.0,36.8,1011.3,Partly Cloudy
2022-01-21,12.8,62.8,0.0,32.5,1011.6,Partly Cloudy
2022-01-22,7.4,97.9,2.6,17.5,1016.2,Rainy
2022-01-23,8.4,67.7,0.0,19.6,1013.2,Partly Cloudy
2022-01-24,3.6,65.5,0.0,14.4,1020.2,Partly Cloudy
2022-01-25,6.5,68.5,0.0,7.8,1017.1,Partly Cloudy
2022-01-26,8.6,58.2,0.0,25.1,1010.8,Partly Cloudy
2022-01-27,4.6,62.7,0.0,17.4,1016.2,Partly Cloudy
2022-01-28,9.6,58.7,0.0,7.2,1020.6,Partly Cloudy
2022-01-29,6.5,67.7,0.0,10.2,1009.0,Partly Cloudy
2022-01-30,7.5,68.6,0.0,11.6,1013.3,Partly Cloudy
2022-01-31,6.6,64.6,0.0,23.5,1012.7,Partly Cloudy
2022-02-01,14.5,57.8,0.0,6.0,1017.9,Partly Cloudy
2022-02-02,8.6,64.5,0.0,6.0,1014.1,Partly Cloudy
2022-02-03,5.3,63.4,0.0,14.3,1014.2,Partly Cloudy
2022-02-04,11.4,84.5,5.7,11.9,1016.6,Rainy
2022-02-05,5.0,67.7,0.0,11.4,1015.5,Partly Cloudy
2022-02-06,9.6,60.4,0.0,9.5,1019.5,Partly Cloudy
2022-02-07,2.8,59.0,0.0,2.9,1016.0,Partly Cloudy
2022-02-08,4.9,59.3,0.0,8.4,1012.1,Partly Cloudy
2022-02-09,9.8,56.1,0.0,11.2,1017.2,Partly Cloudy
2022-02-10,11.7,64.6,0.0,20.8,1009.3,Partly Cloudy
2022-02-11,9.9,64.8,0.0,32.8,1019.3,Partly Cloudy
2022-02-12,9.1,89.9,6.9,12.9,1014.7,Rainy
2022-02-13,8.6,67.5,0.0,13.9,1017.0,Partly Cloudy
2022-02-14,5.0,72.0,0.0,16.7,1015.5,Cloudy
2022-02-15,7.5,87.0,24.2,44.3,1007.3,Rainy
2022-02-16,8.4,66.7,0.0,9.2,1018.0,Partly Cloudy
2022-02-17,13.4,54.7,0.0,7.6,1016.4,Partly Cloudy
2022-02-18,11.2,70.4,0.0,10.3,1013.0,Cloudy
2022-02-19,4.6,59.9,0.0,7.6,1014.7,Partly Cloudy
2022-02-20,11.4,59.9,0.0,18.1,1014.5,Partly Cloudy
2022-02-21,9.3,61.3,0.0,21.2,1017.9,Partly Cloudy
2022-02-22,8.5,57.0,0.0,14.6,1015.2,Partly Cloudy
2022-02-23,12.7,63.1,0.0,14.0,1011.6,Partly Cloudy
2022-02-24,14.2,63.4,0.0,25.4,1019.8,Partly Cloudy
2022-02-25,14.0,61.5,0.0,11.3,1017.1,Partly Cloudy
2022-02-26,8.5,56.9,0.0,19.3,1020.4,Partly Cloudy
2022-02-27,10.3,73.8,0.0,11.2,1013.4,Cloudy
2022-02-28,12.5,65.7,0.0,6.1,1011.3,Partly Cloudy
2022-03-01,14.7,75.3,0.0,23.3,1015.6,Cloudy
2022-03-02,10.2,59.9,0.0,15.1,1018.0,Partly Cloudy
2022-03-03,11.3,93.3,5.2,27.2,1017.1,Rainy
2022-03-04,8.5,68.5,0.0,16.0,1015.9,Partly Cloudy
2022-03-05,8.4,88.2,3.9,22.1,1015.3,Rainy
2022-03-06,15.0,69.1,0.0,7.7,1012.3,Partly Cloudy
2022-03-07,16.9,59.2,0.0,16.8,1017.0,Partly Cloudy
2022-03-08,12.5,61.2,0.0,25.2,1013.7,Partly Cloudy
2022-03-09,16.1,44.2,0.0,12.1,1015.9,Sunny
2022-03-10,14.2,64.4,0.0,8.9,1017.2,Partly Cloudy
2022-03-11,11.1,56.9,0.0,19.7,1016.0,Partly Cloudy
2022-03-12,14.5,59.4,0.0,5.6,1014.0,Partly Cloudy
2022-03-13,18.5,55.5,0.0,27.0,1012.3,Partly Cloudy
2022-03-14,13.6,60.7,0.0,11.1,1015.8,Partly Cloudy
2022-03-15,18.9,87.7,46.3,24.3,1011.7,Thunderstorm
2022-03-16,5.7,65.8,0.0,15.1,1012.0,Partly Cloudy
2022-03-17,16.9,64.8,0.0,23.4,1017.7,Partly Cloudy
2022-03-18,14.7,68.4,0.0,24.0,1014.2,Partly Cloudy
2022-03-19,13.7,60.7,0.0,14.2,1015.1,Partly Cloudy
2022-03-20,15.1,59.6,0.0,4.6,1015.5,Partly Cloudy
2022-03-21,8.6,69.3,0.0,29.6,1016.5,Partly Cloudy
2022-03-22,14.5,67.4,0.0,5.3,1013.1,Partly Cloudy
2022-03-23,16.5,65.1,0.0,16.6,1025.7,Partly Cloudy
2022-03-24,20.3,80.1,0.6,30.5,1011.5,Drizzle
2022-03-25,14.1,64.5,0.0,17.0,1017.7,Partly Cloudy
